"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"1",173,"58","160329_1355",5,1,"RAND","CondCoop","grouptype_is_mixed",10,23.2,22,7.33333333333333,6,37.8944490019141,0,37.9564305897366,"MEDIUM","LOW_STRAT",1
"2",172,"58","160329_1355",4,1,"RAND","CondCoop","grouptype_is_mixed",12,21.2,22,7.33333333333333,5,62.6415094339623,1,37.9564305897366,"MEDIUM","LOW_STRAT",2
"3",159,"53","160324_1558",15,1,"RAND","Others","grouptype_is_mixed",10,22,20,6.66666666666667,5,44.4444444444444,1,35.6709811172746,"LOW","LOW_STRAT",1
"4",42,"11","160321_1405",18,1,"STRAT","CondCoop","grouptype_is_mixed",10,20.2,17,5.66666666666667,3.5,32.4369114877589,0,48.9642184557439,"HIGH","HIGH_STRAT",1
"5",70,"21","160321_1553",22,1,"STRAT","CondCoop","grouptype_is_mixed",20,34.8,58,19.3333333333333,19,44.9263721552878,1,43.0789825970549,"MEDIUM","HIGH_STRAT",1
"6",41,"13","160321_1405",17,1,"STRAT","Freerider","grouptype_is_mixed",5,25.8,18,6,6.5,42.2222222222222,0,40.8612680477087,"MEDIUM","LOW_STRAT",1
"7",21,"1","160321_1143",21,1,"STRAT","CondCoop","grouptype_is_mixed",20,17.4,29,9.66666666666667,4.5,69.5069033530572,1,63.2719701950471,"HIGH","HIGH_STRAT",1
"8",56,"21","160321_1553",8,1,"STRAT","Others","grouptype_is_mixed",20,34.8,58,19.3333333333333,19,39.8661311914324,0,43.0789825970549,"MEDIUM","HIGH_STRAT",2
"9",125,"43","160323_1557",5,1,"PREF","Freerider","Freerider",1,22.6,6,2,2.5,20,0,23.0750307503075,"LOW","LOW_STRAT",1
"10",12,"6","160321_1143",12,1,"STRAT","Freerider","grouptype_is_mixed",0,27.8,13,4.33333333333333,6.5,38.1459566074951,0,38.7332895025203,"MEDIUM","LOW_STRAT",1
