"","sessionid","treatmentnumber","subjects","period","subject","group","profit","totalprofit","contribution_id","income","strategic_ability","timecalculercontrolreppggok","timeokcontrolreppggok","timecalculerrepeatedpggok","timeokrepeatedpggok","sumc_rep","roundprofit","timecontinuerrepeatedpggfeedback","gamepaid","paypgg","paytask","finalprofit","moneyearned","crtscore","paycrt","mycontrib","sumcont_one","sm","paypggone","type","unassigned","winrace","payrace","bilevel","maxint","choiceguess","payguess","target","p","guessability","gr_one","ap","unco_cont","cond1","cond2","cond3","cond4","cond5","cond6","cond7","cond8","cond9","cond10","cond11","cond12","cond13","cond14","cond15","cond16","cond17","cond18","cond19","cond20","cond21","timeokcontrolonepggok","timeokoneshotpgguncook","timeokoneshotpggcondok","avg_cond","cov","sum_square1","sum_square2","avg_bench","d1","d2","var_cond","cor","othercont","mycond","ca","cb","cc","gr_guess","ce","timeokguessinggameok","cg","distance","winguess","cj","sessiontarget","cl","age","gender","study","yearstudy","nation","difficultexp","strategy","strategy1","strategy2","strategypartner","risk","session","id","idgroup","hetero","female","groupcont","avg_cont_all","avg_cont_type","avg_cont_ability","otherCC","CC","n_cc","cumability","bin_strategic_ability","n_H","avg_cont_prefgroup","avg_cont_abgroup","groupcompo","allCC","allH","dif_cont","othercont_rep","mincont","medcont","repothercont","otherH","periodsq","minab","maxab","decile","quartile","avgsm","FR","n_low","n_fr","allFR","allLow","fieldstudy","nationality","avg_cont_compo","condition","sum_contribution_g","avg_contribution_g","avg_contr_g_others","roundprofit_id","grouptype","group_ability_cont","group_ability_cat","group_ability_bin"
"1","160329_1355",0,"subjects",1,5,2,"0","0",10,23.2,37.8944490019141,"51","26","0",19,22,23.2,12,NA,NA,NA,10.64,10.64,0,0,50,250,0,"300","CondCoop",NA,1,200,1,5,30,100,2333333333333330,"0.6666666666666666",0.936833470057424,7,0,50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,45,37,55,"100",77000,77000,77000,100,"100",100,"3850",1,270,200,250,50,"300",5,30,84,2333333333333330,6666666666666660,1,100,3213888888888880,"0.9368334700574242",23,"Femme","Economie et Gestion, Math-Eco","Licence 2","Francaise","4","selon le total de jeton dans la cagnotte commune je versez un certain nombre de jetons","",NA,"en versant le peu ou pas de jeton",0,8,173,"58",NA,1,7.33333349227905,9.54166698455811,12.4399995803833,9.15999984741211,1,1,2,0.380208343267441,0,1,10.3541669845581,9.89583301544189,3,0,0,5,12,0,10,12,1,1,13.3333330154419,62.6415100097656,4,2,100,0,2,1,0,0,3,3,9.00925922393799,"RAND",22,7.33333333333333,6,23.2,"grouptype_is_mixed",37.9564305897366,"MEDIUM","LOW_STRAT"
"2","160329_1355",0,"subjects",1,4,2,"0","0",12,21.2,62.6415094339623,"85","8","-3",-9,22,21.2,11,NA,NA,NA,7.84e+15,7.84e+15,3,300,100,200,1,"220","CondCoop",NA,1,200,1,5,43,0,2288888888888880,"0.6666666666666666",0.679245283018868,8,1,120,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,100,29,18,-8,"9523809523809520",67000,6652380952380950,77000,100,"4761904761904750",100,"3326190476190470",0.936140176684459,100,100,200,100,"220",2,43,1,2288888888888880,2011111111111110,0,0,3213888888888880,"0.6792452830188679",20,"Homme","Sciences dures (Mathématiques, Chimie, Biologie, Physique, Informatique)","Licence 1","Francaise","5 (Facile)","regarder la mise des autres joueurs et adapter afin que ma mise personnelle soit toujours en dessous de la mise globale\r\n","",NA,"j'ai pensé que les joueurs allaient  résonner comme moi, j'ai donc réduit de plus en plus la contribution",7,8,172,"58",NA,0,7.33333349227905,9.54166698455811,12.4399995803833,9.95652198791504,1,1,2,0.817708313465118,1,1,10.3541669845581,9.89583301544189,3,0,0,0,10,0,10,10,0,1,13.3333330154419,62.6415100097656,9,4,95.2380981445312,0,2,1,0,0,4,3,9.00925922393799,"RAND",22,7.33333333333333,5,21.2,"grouptype_is_mixed",37.9564305897366,"MEDIUM","LOW_STRAT"
"3","160324_1558",0,"subjects",1,15,5,"0","0",10,22,44.4444444444444,"0","47","0",19,20,22,13,NA,NA,NA,15445,15445,1,100,40,260,0,"316","Others",NA,1,200,5,5,75,0,2777777777777770,"0.6666666666666666",0,3,0,40,0,5,10,15,20,20,20,25,25,25,25,30,30,30,40,40,15,15,10,10,10,43,44,-7,"20",3250,2299999999999990,77000,100,"-10",100,"115",0.244215981276842,20,25,260,40,"316",7,75,86,2777777777777770,4722222222222220,0,0,2927777777777770,"0",18,"Femme","Economie et Gestion, Math-Eco","Licence 1","Francaise","5 (Facile)","je comptais mettre en confiance les autres joueurs au début en misant puis ne rien miser, mais les autres joueurs n'ont rien misé dès le départ donc j'ai fais comme eux","",NA,"je pensais qu'ils miseraient un minimum",6,7,159,"53",NA,1,6.66666650772095,9.54166698455811,10,9.95652198791504,0,0,0,0.546875,1,2,7.85416650772095,10.5614032745361,3,0,0,6,10,0,10,10,1,1,12.1129598617554,50.4555397033691,6,3,20,0,1,2,0,0,3,3,9.00925922393799,"RAND",20,6.66666666666667,5,22,"grouptype_is_mixed",35.6709811172746,"LOW","LOW_STRAT"
"4","160321_1405",2,"subjects",1,18,3,"0","0",10,18.4,32.4369114877589,"57","-6","0",19,14,18.4,15,NA,NA,NA,12.34,12.34,2,200,200,500,0,"300","CondCoop",NA,1,200,1,5,13,200,8222222222222220,"0.6666666666666666",0.706440677966102,3,0,200,0,0,0,0,0,0,0,0,40,45,50,50,60,70,80,80,80,80,80,80,100,54,10,-22,"4261904761904760",43750,2738095238095230,77000,100,"5738095238095230",100,"1369047619047610",0.952814636340824,300,100,500,200,"300",3,13,43,8222222222222220,4777777777777770,1,200,2502777777777770,"0.7064406779661019",20,"Femme","Droit, Sciences politiques","Licence 2","Francaise","3","J'ai regardé à quelle hauteur les 2 autres joueurs participaient à la cagnotte. Je mettais à peu près pareil mais voyant qu'ils ne participaient plus j'ai d'abord essayé de relancer le mouvement puis je n'ai plus participé non plus.","",NA,"Je pensais qu'ils allaient commencer par miser environ la moitié de leur dotation dans la cagnotte. Puis inéxorablement chacun aurait voulu participer un peu moins donc on serait retombé à une participation nulle pour chacun.",7,2,42,"11",NA,1,4.66666650772095,10.472222328186,12,9.52777767181396,0,1,1,0.296875,0,2,9.17777824401855,10.5614032745361,3,0,0,-10,3.99999952316284,2,2,3.99999952316284,2,1,32.4369125366211,59.2617683410645,3,2,42.6190490722656,0,1,1,0,0,2,3,9.00925922393799,"STRAT",17,5.66666666666667,3.5,20.2,"grouptype_is_mixed",48.9642184557439,"HIGH","HIGH_STRAT"
"5","160321_1553",2,"subjects",1,22,5,"0","0",20,33.6,44.9263721552878,"88","45","8",4,56,33.6,3,NA,NA,NA,8.28e+15,8.28e+15,1,100,200,360,1,"216","CondCoop",NA,1,200,1,5,25,0,3044444444444440,"0.6666666666666666",0.814457831325301,8,1,200,0,10,0,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,200,-173,36,10,"1071428571428570",80300,8462857142857140,77000,100,"9285714285714280",100,"4231428571428570",0.99474480048698,160,200,360,200,"216",5,25,5,3044444444444440,5444444444444440,0,0,3141666666666660,"0.8144578313253013",20,"Homme","Economie et Gestion, Math-Eco","Licence 2","Francaise","3","joue 20 jeton a chaque fois et au 13 periode commencer a jouer moin ainsi on a un gain optimal","",NA,"meme manieire que moi jouer 20 au debut pour que tous le monde gagne",6,3,70,"21",NA,0,18.6666660308838,10.472222328186,12,11.4166669845581,0,1,1,0.5625,1,2,9.17777824401855,10.5614032745361,3,0,0,0,36,16,20,36,1,1,39.8661308288574,44.9263725280762,6,3,107.142860412598,0,1,1,0,0,3,3,9.00925922393799,"STRAT",58,19.3333333333333,19,34.8,"grouptype_is_mixed",43.0789825970549,"MEDIUM","HIGH_STRAT"
"6","160321_1405",2,"subjects",1,17,5,"0","0",5,25.8,42.2222222222222,"9","-3","3",-5,18,25.8,7,NA,NA,NA,14245,14245,2,200,50,105,0,"213","Freerider",NA,1,200,3,5,100,0,2733333333333330,"0.6666666666666666",0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,-10,-25,"0",0,0,77000,100,"0",100,"0",0,120,0,105,50,"213",7,100,-23,2733333333333330,7266666666666660,0,0,2502777777777770,"0",21,"Homme","Sciences dures (Mathématiques, Chimie, Biologie, Physique, Informatique)","Master 1","Francaise","5 (Facile)","au début je pensait mettre de fort montant car il permettait a tout le monde de faire des gain importants , mais je me suis rendu compte que je participé a plus de la moitier du pot commun, donc j'ai arreté","",NA,"en faisant de plus forte mise",7,2,41,"13",NA,0,6,10.472222328186,6.86666679382324,9.52777767181396,1,0,1,0.479166656732559,0,0,9.17777824401855,8.06666660308838,3,0,0,0,13,5,5,13,0,1,40.1807899475098,42.2222213745117,5,2,0,1,3,1,0,1,4,3,9.00925922393799,"STRAT",18,6,6.5,25.8,"grouptype_is_mixed",40.8612680477087,"MEDIUM","LOW_STRAT"
"7","160321_1143",2,"subjects",1,21,1,"0","0",20,17.4,69.5069033530572,"0","86","13",5,29,17.4,13,NA,NA,NA,15.58,15.58,3,300,90,270,0,"272","CondCoop",NA,1,200,3,5,2,200,1088888888888880,"0.6666666666666666",0.485207100591716,1,0,90,0,50,50,50,50,50,60,60,80,80,100,100,120,120,140,140,160,160,180,180,200,-116,-7,12,"1014285714285710",66900,6045714285714280,77000,100,"9857142857142850",100,"3022857142857140",0.980521104321541,80,200,270,90,"272",8,2,7,1088888888888880,8888888888888880,1,200,23.75,"0.485207100591716",21,"Homme","Sociologie","Master 1","Francaise","4","Au début généreux dans le pot commun dans le but d'instaurer une dynamique positive de gains mutuels, voyant le succès relatif de cette stratégie (moins de 20 de gains), j'ai baissé de moitié pour les 4 tours suivants. N'ayant","toujours pas satisfaction de la coopération, j'ai brutalement choisi 0, ce qui a cassé la confiance, et a entraine le groupe vers des apports très bas pour tout le reste du processus.",NA,"Je pensais qu'ils seraient plus généreux au début, pour l'intérêt de tous.",8,1,21,"1",NA,0,9.66666698455811,10.472222328186,12,11.4166669845581,1,1,2,0.848958313465118,1,2,10.3541669845581,10.5614032745361,3,0,0,11,9.00000095367432,4,5,9.00000095367432,1,1,38.2577247619629,82.0512847900391,9,4,101.428573608398,0,1,1,0,0,5,3,9.00925922393799,"STRAT",29,9.66666666666667,4.5,17.4,"grouptype_is_mixed",63.2719701950471,"HIGH","HIGH_STRAT"
"8","160321_1553",2,"subjects",1,8,5,"0","0",20,33.6,39.8661311914324,"0","-23","0",-80,56,33.6,18,NA,NA,NA,10605,10605,1,100,60,360,0,"356","Others",NA,1,200,2,5,50,0,3866666666666660,"0.6666666666666666",0.462650602409639,8,0,60,20,20,50,20,40,10,40,40,50,70,45,13,25,125,100,50,41,50,30,40,10,-175,29,-20,"4233333333333330",7240,1609066666666660,77000,100,"-3233333333333330",100,"8045333333333330",0.205686687715969,300,10,360,60,"356",1,50,85,3866666666666660,1133333333333330,0,0,3141666666666660,"0.4626506024096385",20,"Femme","Economie et Gestion, Math-Eco","Licence 1","Autre Non-Européenne","3","J ai choisit dans un mod decroissant","",NA,"par hasard",5,3,56,"21",NA,1,18.6666660308838,10.472222328186,9.5,9.52777767181396,1,0,1,0.432291656732559,0,2,9.17777824401855,10.5614032745361,3,0,0,14,36,16,20,36,2,1,39.8661308288574,44.9263725280762,5,2,42.3333320617676,0,1,1,0,0,3,2,9.00925922393799,"STRAT",58,19.3333333333333,19,34.8,"grouptype_is_mixed",43.0789825970549,"MEDIUM","HIGH_STRAT"
"9","160323_1557",1,"subjects",1,5,3,"0","0",1,22.6,20,"2","-19","12",11,6,22.6,8,NA,NA,NA,12.34,12.34,0,0,10,60,0,"226","Freerider",0,1,200,3,5,99,0,3311111111111110,"0.6666666666666666",0,6,0,10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,36,22,5,"10",7700,770,77000,100,"10",100,"38.5",1,60,20,60,10,"226",1,99,3,3311111111111110,6588888888888880,0,0,2836111111111110,"0",18,"Femme","Economie et Gestion, Math-Eco","Licence 1","Francaise","4","J'aurai aimé que tout le monde ajoutent 20 euros dans la cagnotte, pour avoir un maximum de gain.","",NA,"Je pensais qu'ils allaient aussi mettre dans la cagnotte 20 euros après que avoir mis personellement 20 euros, or seule une personne l'a fait et l'autre a continué à mettre 0 euros dans la cagnotte.",7,6,125,"43",0,1,2,9.20833301544189,4.83333349227905,8.08571434020996,0,0,0,0.11458333581686,0,0,7.85416650772095,8.06666660308838,3,0,0,0,5,0,1,5,0,1,13.3333330154419,35.8917579650879,2,1,10,1,3,3,1,1,3,3,9.00925922393799,"PREF",6,2,2.5,22.6,"Freerider",23.0750307503075,"LOW","LOW_STRAT"
"10","160321_1143",2,"subjects",1,12,6,"0","0",0,27.8,38.1459566074951,"82","-11","23",20,13,27.8,17,NA,NA,NA,9.3e+15,9.3e+15,0,0,60,360,1,"356","Freerider",NA,1,200,3,5,43,0,2355555555555550,"0.6666666666666666",0.544378698224852,6,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0,60,16,26,53,"8571428571428570",5.4e+15,9257142857142850,77000,100,"5142857142857140",100,"4628571428571420",0.202259958738973,300,60,360,60,"356",6,43,37,2355555555555550,1944444444444440,0,0,23.75,"0.5443786982248521",22,"Femme","Autres","Master 1","Autre Non-Européenne","4","choisir toujour 0","",NA,"faire la contribution",6,1,12,"6",NA,1,4.33333349227905,10.472222328186,6.86666679382324,9.52777767181396,2,0,2,0.385416656732559,0,0,10.3541669845581,8.06666660308838,3,0,0,0,13,3,3,13,0,1,38.1459579467773,39.0401039123535,4,2,8.5714282989502,1,3,2,0,1,1,2,9.00925922393799,"STRAT",13,4.33333333333333,6.5,27.8,"grouptype_is_mixed",38.7332895025203,"MEDIUM","LOW_STRAT"
