"","id","type","condition","condition_contr_table","preferred_contribution","avg_group_contr"
"1","173","CondCoop","RAND","cond1",0,0
"2","172","CondCoop","RAND","cond1",0,0
"3","159","Others","RAND","cond1",0,0
"4","42","CondCoop","STRAT","cond1",0,0
"5","70","CondCoop","STRAT","cond1",0,0
"6","41","Freerider","STRAT","cond1",0,0
"7","21","CondCoop","STRAT","cond1",0,0
"8","56","Others","STRAT","cond1",20,0
"9","125","Freerider","PREF","cond1",0,0
"10","12","Freerider","STRAT","cond1",0,0
"11","2","UncondCoop","STRAT","cond1",200,0
"12","11","CondCoop","STRAT","cond1",0,0
"13","174","Freerider","RAND","cond1",0,0
"14","23","CondCoop","STRAT","cond1",0,0
"15","116","CondCoop","PREF","cond1",0,0
"16","138","Freerider","PREF","cond1",0,0
"17","157","Freerider","RAND","cond1",0,0
"18","38","Others","STRAT","cond1",10,0
"19","44","CondCoop","STRAT","cond1",0,0
"20","142","Others","PREF","cond1",0,0
"21","8","CondCoop","STRAT","cond1",0,0
"22","87","Freerider","PREF","cond1",0,0
"23","57","CondCoop","STRAT","cond1",0,0
"24","31","Freerider","STRAT","cond1",0,0
"25","149","Freerider","RAND","cond1",0,0
"26","152","CondCoop","RAND","cond1",0,0
"27","177","Freerider","RAND","cond1",0,0
"28","162","Others","RAND","cond1",0,0
"29","37","Freerider","STRAT","cond1",0,0
"30","145","Freerider","RAND","cond1",0,0
"31","45","CondCoop","STRAT","cond1",0,0
"32","147","CondCoop","RAND","cond1",0,0
"33","35","Freerider","STRAT","cond1",0,0
"34","105","Others","PREF","cond1",200,0
"35","185","CondCoop","RAND","cond1",70,0
"36","40","Freerider","STRAT","cond1",0,0
"37","163","CondCoop","RAND","cond1",0,0
"38","68","CondCoop","STRAT","cond1",0,0
"39","10","CondCoop","STRAT","cond1",0,0
"40","63","Others","STRAT","cond1",0,0
"41","160","Freerider","RAND","cond1",0,0
"42","97","CondCoop","PREF","cond1",0,0
"43","114","Others","PREF","cond1",30,0
"44","176","Others","RAND","cond1",10,0
"45","9","UncondCoop","STRAT","cond1",100,0
"46","50","CondCoop","STRAT","cond1",0,0
"47","111","Others","PREF","cond1",150,0
"48","91","Freerider","PREF","cond1",0,0
"49","67","Freerider","STRAT","cond1",0,0
"50","151","Others","RAND","cond1",200,0
"51","58","Others","STRAT","cond1",0,0
"52","22","Others","STRAT","cond1",20,0
"53","158","Freerider","RAND","cond1",0,0
"54","85","Others","PREF","cond1",0,0
"55","148","CondCoop","RAND","cond1",0,0
"56","6","Freerider","STRAT","cond1",0,0
"57","183","CondCoop","RAND","cond1",1,0
"58","121","Freerider","PREF","cond1",0,0
"59","104","Freerider","PREF","cond1",0,0
"60","181","Freerider","RAND","cond1",0,0
"61","100","Freerider","PREF","cond1",10,0
"62","108","Freerider","PREF","cond1",0,0
"63","80","Freerider","PREF","cond1",0,0
"64","30","UncondCoop","STRAT","cond1",20,0
"65","60","Freerider","STRAT","cond1",0,0
"66","88","UncondCoop","PREF","cond1",200,0
"67","15","CondCoop","STRAT","cond1",0,0
"68","107","Others","PREF","cond1",0,0
"69","79","Others","PREF","cond1",0,0
"70","39","CondCoop","STRAT","cond1",0,0
"71","119","Freerider","PREF","cond1",0,0
"72","47","Freerider","STRAT","cond1",0,0
